Temperature,Humidity,Datetime
30.80,72.00,2020/7/5 07:45:37
30.80,72.00,2020/7/5 07:45:41
30.70,72.00,2020/7/5 07:45:45
30.80,72.00,2020/7/5 07:45:49
30.80,72.00,2020/7/5 07:45:53
30.70,72.00,2020/7/5 07:45:57
30.70,72.00,2020/7/5 07:46:02
30.80,72.00,2020/7/5 07:46:06
30.70,72.00,2020/7/5 07:46:10
30.70,72.00,2020/7/5 07:46:14
30.70,72.00,2020/7/5 07:46:19
30.70,72.00,2020/7/5 07:46:23
30.70,72.00,2020/7/5 07:46:27
30.80,72.00,2020/7/5 07:46:31
30.60,72.00,2020/7/5 07:46:35
30.70,72.00,2020/7/5 07:46:40
30.80,72.00,2020/7/5 07:46:44
30.70,72.00,2020/7/5 07:46:49
30.60,72.00,2020/7/5 07:46:53
30.60,72.00,2020/7/5 07:46:57
30.70,72.00,2020/7/5 07:47:01
30.60,72.00,2020/7/5 07:47:06
30.50,72.00,2020/7/5 07:47:10
30.70,72.00,2020/7/5 07:47:14
30.60,72.00,2020/7/5 07:47:18
30.60,72.00,2020/7/5 07:47:22
30.70,72.00,2020/7/5 07:47:27
30.60,72.00,2020/7/5 07:47:31
30.70,72.00,2020/7/5 07:47:35
30.60,72.00,2020/7/5 07:47:39
30.70,72.00,2020/7/5 07:47:44
30.70,72.00,2020/7/5 07:47:48
30.60,72.00,2020/7/5 07:47:53
30.60,72.00,2020/7/5 07:47:57
30.60,72.00,2020/7/5 07:48:02
30.60,72.00,2020/7/5 07:48:07
30.80,72.00,2020/7/5 07:48:12
30.70,72.00,2020/7/5 07:48:16
30.60,72.00,2020/7/5 07:48:20
30.60,72.00,2020/7/5 07:48:24
30.60,72.00,2020/7/5 07:48:29
30.70,72.00,2020/7/5 07:48:33
30.60,72.00,2020/7/5 07:48:37
30.60,72.00,2020/7/5 07:48:41
30.50,72.00,2020/7/5 07:48:46
30.50,72.00,2020/7/5 07:48:50
30.60,72.00,2020/7/5 07:48:54
30.60,72.00,2020/7/5 07:48:58
30.60,72.00,2020/7/5 07:49:02
30.60,72.00,2020/7/5 07:49:06
30.60,72.00,2020/7/5 07:49:11
30.50,72.00,2020/7/5 07:49:15
30.60,72.00,2020/7/5 07:49:19
30.50,72.00,2020/7/5 07:49:23
30.50,72.00,2020/7/5 07:49:28
30.50,72.00,2020/7/5 07:49:32
30.50,72.00,2020/7/5 07:49:36
30.60,72.00,2020/7/5 07:49:40
30.60,72.00,2020/7/5 07:49:44
30.50,72.00,2020/7/5 07:49:49
30.50,72.00,2020/7/5 07:49:53
30.50,72.00,2020/7/5 07:49:58
30.50,72.00,2020/7/5 07:50:02
30.50,72.00,2020/7/5 07:50:06
30.50,72.00,2020/7/5 07:50:10
30.50,72.00,2020/7/5 07:50:15
30.50,72.00,2020/7/5 07:50:19
30.50,72.00,2020/7/5 07:50:23
30.50,72.00,2020/7/5 07:50:27
30.50,72.00,2020/7/5 07:50:31
30.50,72.00,2020/7/5 07:50:36
30.50,72.00,2020/7/5 07:50:40
30.50,72.00,2020/7/5 07:50:45
30.50,72.00,2020/7/5 07:50:49
30.50,72.00,2020/7/5 07:50:53
30.50,72.00,2020/7/5 07:50:57
30.50,72.00,2020/7/5 07:51:02
30.50,72.00,2020/7/5 07:51:06
30.50,72.00,2020/7/5 07:51:10
30.50,72.00,2020/7/5 07:51:14
30.50,72.00,2020/7/5 07:51:19
30.50,72.00,2020/7/5 07:51:23
30.50,72.00,2020/7/5 07:51:27
30.50,72.00,2020/7/5 07:51:31
30.50,72.00,2020/7/5 07:51:36
30.50,72.00,2020/7/5 07:51:40
30.50,72.00,2020/7/5 07:51:44
30.50,72.00,2020/7/5 07:51:48
30.50,72.00,2020/7/5 07:51:52
30.50,72.00,2020/7/5 07:51:57
30.50,72.00,2020/7/5 07:52:01
30.50,72.00,2020/7/5 07:52:06
30.50,72.00,2020/7/5 07:52:10
30.50,72.00,2020/7/5 07:52:14
30.50,72.00,2020/7/5 07:52:18
